model_id,dependent,independent,group_var,group_n,fit_chisq,fit_df,fit_p,fit_cfi,fit_tli,fit_rmsea,fit_srmr,r2_averageNumerical,r2_averageNonNumerical,r2_HBM_risk,r2_HBM_benefit,r2_dep,path,chisq_diff,df_diff,p_value,note
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,averageNumerical       ~ mean_subjective_numeracy,0.132,1,0.7161,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,averageNonNumerical    ~ mean_subjective_numeracy,2.255,1,0.1332,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_acceptance_4               ~ HBM_average_benefit_3,0.085,1,0.771,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,12.422,10,0.2578,0.992,0.977,0.047,0.033,0.018,0.037,0.237,0.229,0.208,HBM_average_acceptance_4               ~ HBM_average_risk_3,0.038,1,0.8452,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,averageNumerical       ~ mean_subjective_numeracy,1.598,1,0.2061,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,averageNonNumerical    ~ mean_subjective_numeracy,3.069,1,0.0798,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,HBM_average_risk_3     ~ averageNumerical,1.26,1,0.2617,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,HBM_average_risk_3     ~ averageNonNumerical,1.749,1,0.186,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,HBM_average_benefit_3  ~ averageNumerical,0.851,1,0.3564,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,HBM_average_benefit_3  ~ averageNonNumerical,1.139,1,0.2859,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,HBM_average_acceptance_4               ~ HBM_average_benefit_3,1.612,1,0.2042,
8,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,14.136,10,0.1669,0.987,0.962,0.061,0.033,0.045,0.013,0.233,0.28,0.153,HBM_average_acceptance_4               ~ HBM_average_risk_3,4.768,1,0.029,*
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,averageNumerical       ~ numAttitude_average,1.994,1,0.1579,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,averageNonNumerical    ~ numAttitude_average,4.898,1,0.0269,*
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,HBM_average_acceptance_4               ~ HBM_average_benefit_3,0.085,1,0.771,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,0=129; 1=91,13.028,10,0.2221,0.991,0.973,0.052,0.034,0.104,0.058,0.237,0.229,0.208,HBM_average_acceptance_4               ~ HBM_average_risk_3,0.038,1,0.8452,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,averageNumerical       ~ mean_subjective_numeracy,0.132,1,0.7161,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,averageNonNumerical    ~ mean_subjective_numeracy,2.255,1,0.1332,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,num_vaccination_3               ~ HBM_average_benefit_3,0.099,1,0.7536,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,8.811,10,0.5502,1,1.01,0,0.026,0.018,0.037,0.237,0.229,0.398,num_vaccination_3               ~ HBM_average_risk_3,0.657,1,0.4176,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,averageNumerical       ~ mean_subjective_numeracy,1.598,1,0.2061,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,averageNonNumerical    ~ mean_subjective_numeracy,3.069,1,0.0798,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,HBM_average_risk_3     ~ averageNumerical,1.26,1,0.2617,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,HBM_average_risk_3     ~ averageNonNumerical,1.749,1,0.186,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,HBM_average_benefit_3  ~ averageNumerical,0.851,1,0.3564,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,HBM_average_benefit_3  ~ averageNonNumerical,1.139,1,0.2859,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,num_vaccination_3               ~ HBM_average_benefit_3,6.138,1,0.0132,*
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,BH=100; BL=120,10.285,10,0.4159,0.999,0.998,0.016,0.027,0.045,0.013,0.233,0.28,0.288,num_vaccination_3               ~ HBM_average_risk_3,1.485,1,0.223,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,averageNumerical       ~ numAttitude_average,1.851,1,0.1737,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,averageNonNumerical    ~ numAttitude_average,0,1,0.9926,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,HBM_average_risk_3     ~ averageNumerical,0.016,1,0.8983,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,HBM_average_risk_3     ~ averageNonNumerical,1.552,1,0.2129,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,HBM_average_benefit_3  ~ averageNumerical,0.035,1,0.8506,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,HBM_average_benefit_3  ~ averageNonNumerical,3.605,1,0.0576,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,num_vaccination_3               ~ HBM_average_benefit_3,0.053,1,0.818,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,11.2,10,0.3421,0.997,0.99,0.033,0.037,0.008,0.015,0.172,0.295,0.331,num_vaccination_3               ~ HBM_average_risk_3,0.168,1,0.6821,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,averageNumerical       ~ numAttitude_average,1.994,1,0.1579,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,averageNonNumerical    ~ numAttitude_average,4.898,1,0.0269,*
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,num_vaccination_3               ~ HBM_average_benefit_3,0.099,1,0.7536,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,0=129; 1=91,8.965,10,0.5354,1,1.008,0,0.027,0.104,0.058,0.237,0.229,0.398,num_vaccination_3               ~ HBM_average_risk_3,0.657,1,0.4176,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,averageNumerical       ~ mean_subjective_numeracy,0.132,1,0.7161,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,averageNonNumerical    ~ mean_subjective_numeracy,2.255,1,0.1332,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,num_vaccination_4               ~ HBM_average_benefit_3,0.53,1,0.4668,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,0=129; 1=91,7.753,10,0.653,1,1.018,0,0.024,0.018,0.037,0.237,0.229,0.392,num_vaccination_4               ~ HBM_average_risk_3,1.063,1,0.3026,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,averageNumerical       ~ mean_subjective_numeracy,1.598,1,0.2061,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,averageNonNumerical    ~ mean_subjective_numeracy,3.069,1,0.0798,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,HBM_average_risk_3     ~ averageNumerical,1.26,1,0.2617,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,HBM_average_risk_3     ~ averageNonNumerical,1.749,1,0.186,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,HBM_average_benefit_3  ~ averageNumerical,0.851,1,0.3564,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,HBM_average_benefit_3  ~ averageNonNumerical,1.139,1,0.2859,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,num_vaccination_4               ~ HBM_average_benefit_3,5.403,1,0.0201,*
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,BH=100; BL=120,8.755,10,0.5555,1,1.01,0,0.023,0.045,0.013,0.233,0.28,0.307,num_vaccination_4               ~ HBM_average_risk_3,2.027,1,0.1546,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,averageNumerical       ~ numAttitude_average,1.851,1,0.1737,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,averageNonNumerical    ~ numAttitude_average,0,1,0.9926,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,HBM_average_risk_3     ~ averageNumerical,0.016,1,0.8983,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,HBM_average_risk_3     ~ averageNonNumerical,1.552,1,0.2129,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,HBM_average_benefit_3  ~ averageNumerical,0.035,1,0.8506,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,HBM_average_benefit_3  ~ averageNonNumerical,3.605,1,0.0576,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,num_vaccination_4               ~ HBM_average_benefit_3,0.008,1,0.9289,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,SH=112; SL=108,10.892,10,0.366,0.998,0.993,0.028,0.036,0.008,0.015,0.172,0.295,0.343,num_vaccination_4               ~ HBM_average_risk_3,0,1,0.9883,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,averageNumerical       ~ numAttitude_average,1.994,1,0.1579,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,averageNonNumerical    ~ numAttitude_average,4.898,1,0.0269,*
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,HBM_average_risk_3     ~ averageNumerical,0.563,1,0.4531,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,HBM_average_risk_3     ~ averageNonNumerical,0.402,1,0.5262,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,HBM_average_benefit_3  ~ averageNumerical,0.415,1,0.5193,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,HBM_average_benefit_3  ~ averageNonNumerical,3.758,1,0.0525,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,num_vaccination_4               ~ HBM_average_benefit_3,0.53,1,0.4668,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,0=129; 1=91,8.776,10,0.5535,1,1.009,0,0.027,0.104,0.058,0.237,0.229,0.392,num_vaccination_4               ~ HBM_average_risk_3,1.063,1,0.3026,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,averageNumerical       ~ numAttitude_average,0.606,1,0.4362,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,averageNonNumerical    ~ numAttitude_average,0.513,1,0.474,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,HBM_average_risk_3     ~ averageNumerical,1.26,1,0.2617,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,HBM_average_risk_3     ~ averageNonNumerical,1.749,1,0.186,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,HBM_average_benefit_3  ~ averageNumerical,0.851,1,0.3564,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,HBM_average_benefit_3  ~ averageNonNumerical,1.139,1,0.2859,
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,num_vaccination_4               ~ HBM_average_benefit_3,5.403,1,0.0201,*
24,num_vaccination_4,numAttitude_average,berlin_group,BH=100; BL=120,16.153,10,0.0953,0.985,0.954,0.075,0.047,0.026,0.012,0.233,0.28,0.307,num_vaccination_4               ~ HBM_average_risk_3,2.027,1,0.1546,
