no,id,group,firstParti,sndParti,gender,age,residentArea,maritalStatus,children,occupation,education,covidInfecRecord,vaccRecord1stSurvey,vaccReservation,device,start_time,end_time,time
1,2KFHmR6EVjTB,3,,1,1,41,23,2,1,1,6,2,3,1,1,2021-08-26 16:10:45,2021-08-26 16:17:25,7
2,iHQd2X4WxXKT,14,,1,1,33,33,1,2,11,6,2,3,2,1,2021-08-26 16:11:33,2021-08-26 16:12:35,1
5,8IAdujTsj7C2,20,,1,2,30,24,2,2,5,6,2,3,2,5,2021-08-26 16:12:24,2021-08-26 16:12:57,1
7,ID7fg15uaOax,20,,1,2,34,5,1,2,11,4,2,3,2,2,2021-08-26 16:13:06,2021-08-26 16:14:08,1
8,EsC3bfIpfxeS,15,,1,1,44,8,2,2,1,4,2,3,2,4,2021-08-26 16:13:48,2021-08-26 16:14:27,1
9,j0XffQr1hTjS,21,,1,2,46,23,3,1,11,2,2,3,2,1,2021-08-26 16:13:50,2021-08-26 16:14:50,1
10,2uAysoGBPttN,8,,1,2,31,23,2,2,1,5,2,3,1,4,2021-08-26 16:14:38,2021-08-26 16:21:32,7
12,fHvWivrsEsER,15,1,1,1,42,13,3,2,14,4,2,3,2,4,2021-08-26 16:15:13,2021-08-26 16:16:01,1
16,1UbuqzXB04UA,13,,1,1,25,8,1,2,1,6,2,3,2,1,2021-08-26 16:16:35,2021-08-26 16:17:22,1
17,LTwWI6mJVCFB,2,,1,1,30,27,1,2,4,6,2,3,1,1,2021-08-26 16:16:57,2021-08-26 16:17:33,1
18,mjtV7g5v1iW9,13,,1,1,23,27,1,2,13,6,2,3,2,1,2021-08-26 16:17:02,2021-08-26 16:17:49,1
20,6cWKlSNHdYxQ,13,,1,1,22,24,1,2,1,6,2,3,2,1,2021-08-26 16:18:03,2021-08-26 16:19:02,1
21,51aeKd5ShRIm,14,1,1,1,31,14,1,2,11,6,2,3,2,5,2021-08-26 16:18:28,2021-08-26 16:23:29,5
23,BidxckcqEroS,14,,1,1,39,40,1,2,14,4,2,3,2,4,2021-08-26 16:19:01,2021-08-26 16:21:19,2
24,eG3B055MuE7y,10,,1,2,57,11,3,2,1,6,2,3,1,4,2021-08-26 16:19:58,2021-08-26 16:20:40,1
25,Ia8HUk6DTDQM,3,,1,1,44,28,1,2,14,2,2,3,1,4,2021-08-26 16:20:40,2021-08-26 16:21:29,1
26,bd9pQJIwZQ88,20,,1,2,34,4,2,1,1,6,2,3,2,1,2021-08-26 16:20:49,2021-08-26 16:21:26,1
28,9YftZQKjcC83,8,1,1,2,39,11,2,1,12,2,2,3,1,1,2021-08-26 16:21:13,2021-08-26 16:22:43,2
29,9nfBreAmmILZ,7,,1,2,26,38,2,1,12,6,2,3,1,1,2021-08-26 16:21:46,2021-08-26 16:22:24,1
36,J0yV3wkTCvBx,20,1,1,2,39,40,1,2,6,4,2,3,2,1,2021-08-26 16:24:15,2021-08-26 16:31:07,7
37,DWOclhSyBpM0,20,,1,2,37,47,1,2,15,2,2,3,2,2,2021-08-26 16:24:55,2021-08-26 16:25:49,1
42,diIyoeUYBKoU,9,,1,2,48,14,2,2,12,6,2,3,1,4,2021-08-26 16:27:36,2021-08-26 16:29:04,1
45,9ZLYCMPjysAI,20,,1,2,36,27,1,2,1,6,2,3,2,4,2021-08-26 16:29:05,2021-08-26 16:29:36,1
48,5qOQ6xzoJiVO,23,,1,2,60,1,2,1,12,5,2,3,2,2,2021-08-26 16:29:47,2021-08-26 16:30:19,1
49,fuLDWdVk2q48,9,,1,2,41,40,1,2,4,5,2,3,1,1,2021-08-26 16:30:31,2021-08-26 16:31:23,1
52,aa8LT1EMBS5f,3,,1,1,47,1,2,2,1,2,2,3,1,4,2021-08-26 16:31:33,2021-08-26 16:32:18,1
55,mLft3ifnlRa5,21,,1,2,49,26,2,1,1,2,2,3,2,1,2021-08-26 16:33:38,2021-08-26 16:35:01,1
59,JKRiwEPtdYCT,21,,1,2,41,43,2,1,1,2,2,3,2,5,2021-08-26 16:35:17,2021-08-26 16:35:56,1
60,8z51nVlNr41c,14,,1,1,33,11,2,1,2,6,2,3,2,1,2021-08-26 16:36:14,2021-08-26 16:37:01,1
61,KDTTJssBuznD,13,,1,1,22,14,1,2,13,2,2,3,2,1,2021-08-26 16:38:05,2021-08-26 16:38:44,1
65,C67CqDHSTsQz,19,1,1,2,21,28,1,2,14,2,2,3,2,1,2021-08-26 16:39:19,2021-08-26 16:40:54,2
66,1lz14PYCPQL8,14,,1,1,35,9,1,2,8,2,2,3,2,5,2021-08-26 16:40:50,2021-08-26 16:41:21,1
67,4kFW9aHp3UgF,20,,1,2,32,23,1,2,11,2,2,3,2,1,2021-08-26 16:42:33,2021-08-26 16:49:50,7
68,B54nglSP3rdI,19,,1,2,21,13,1,2,1,4,2,3,2,1,2021-08-26 16:43:24,2021-08-26 16:44:10,1
70,DOrvp2gQ6ife,15,,1,1,43,10,2,2,10,6,2,3,2,4,2021-08-26 16:44:56,2021-08-26 16:45:49,1
71,aC8PanFsubX5,19,,1,2,20,1,1,2,13,6,2,3,2,1,2021-08-26 16:45:42,2021-08-26 16:46:41,1
72,1Z1nsYMaZnyI,22,1,1,2,56,1,1,2,14,4,2,3,2,1,2021-08-26 16:46:25,2021-08-26 16:48:45,2
76,C4Pm1PttgcXq,20,,1,2,34,13,1,2,11,2,2,3,2,4,2021-08-26 16:48:02,2021-08-26 16:48:52,1
83,9DGTT79iKFAJ,8,,1,2,36,28,3,2,11,2,2,3,1,5,2021-08-26 16:51:51,2021-08-26 16:52:25,1
84,AdtmstkINPdl,13,1,1,1,29,8,1,2,1,2,2,3,2,2,2021-08-26 16:52:04,2021-08-26 16:53:28,1
86,mTmJCKsSPWlp,9,1,1,2,44,1,1,2,6,2,2,3,1,1,2021-08-26 16:53:45,2021-08-26 16:54:39,1
90,fDZL6quZgtqi,19,,1,2,29,13,1,2,1,6,2,3,2,1,2021-08-26 16:55:38,2021-08-26 16:57:26,2
91,8er54QgyhRhW,21,,1,2,48,12,2,2,3,6,2,3,2,5,2021-08-26 16:56:24,2021-08-26 16:56:51,0
92,K8KtMmYwLCfs,11,1,1,2,67,22,3,1,14,2,2,3,1,4,2021-08-26 16:56:38,2021-08-26 16:57:45,1
96,I2vMKBWXaQc7,2,1,1,1,38,14,2,1,1,6,2,3,1,1,2021-08-26 17:00:12,2021-08-26 17:00:55,1
98,cD77e3Zi0iik,19,,1,2,24,14,1,2,11,6,2,3,2,1,2021-08-26 17:01:16,2021-08-26 17:02:22,1
105,eNcYXeGxF3km,15,,1,1,43,14,2,1,1,6,2,3,2,1,2021-08-26 17:05:29,2021-08-26 17:06:33,1
108,8vh2NODQBXVQ,2,,1,1,30,23,1,2,15,6,2,3,1,5,2021-08-26 17:09:40,2021-08-26 17:10:17,1
113,HaYGDmhmlyWo,7,,1,2,28,13,1,2,1,6,2,3,1,1,2021-08-26 17:16:48,2021-08-26 17:17:38,1
114,4lXqTpQPrqLy,14,,1,1,35,34,1,2,5,5,2,3,2,3,2021-08-26 17:17:20,2021-08-26 17:18:02,1
118,gcrmyEu0f93W,19,,1,2,22,13,1,2,11,6,2,3,2,4,2021-08-26 17:19:01,2021-08-26 17:19:29,0
120,EkSU4KEM3Sh4,20,,1,2,38,1,2,2,12,6,2,3,2,4,2021-08-26 17:21:15,2021-08-26 17:22:06,1
121,gHSgpA3r4kKt,17,,1,1,61,23,1,2,5,2,2,3,2,6,2021-08-26 17:22:03,2021-08-26 17:23:20,1
127,bHDEjnwDHfEK,3,1,1,1,41,11,1,2,7,2,2,3,1,5,2021-08-26 17:29:28,2021-08-26 17:30:03,1
132,7B9VyDumWUfT,10,1,1,2,59,1,2,2,12,6,2,3,1,2,2021-08-26 17:32:22,2021-08-26 17:32:57,1
133,DxOZ0JWYdiEN,13,,1,1,29,1,1,2,14,6,2,3,2,4,2021-08-26 17:32:42,2021-08-26 17:33:13,1
136,Frq7otttak1R,14,,1,1,31,25,1,2,1,6,2,3,2,4,2021-08-26 17:36:14,2021-08-26 17:37:24,1
138,KBcpNE2Pzn6e,17,1,1,1,64,26,2,1,11,6,2,3,2,5,2021-08-26 17:36:50,2021-08-26 17:44:03,7
142,mHQ9uXxP2S6l,16,,1,1,57,33,2,1,1,6,2,3,2,2,2021-08-26 17:38:44,2021-08-26 17:39:24,1
143,N07lGzdupw8C,9,,1,2,45,7,2,1,12,4,2,3,1,4,2021-08-26 17:39:02,2021-08-26 17:39:48,1
146,HlJ1IKbAf45t,11,,1,2,63,14,1,2,14,6,2,3,1,4,2021-08-26 17:40:59,2021-08-26 17:42:02,1
151,96lfhD26zvy1,22,,1,2,59,14,2,1,12,2,2,3,2,5,2021-08-26 17:42:53,2021-08-26 17:44:01,1
155,mwkGNk8rTCwN,20,,1,2,32,19,2,2,12,6,2,3,2,1,2021-08-26 17:46:35,2021-08-26 17:47:14,1
158,596fi9yd1OPv,19,,1,2,25,13,1,2,6,6,2,3,2,5,2021-08-26 17:47:48,2021-08-26 17:48:37,1
163,K8YLWxxTI3xm,16,,1,1,55,12,2,1,1,6,2,3,2,4,2021-08-26 17:51:47,2021-08-26 17:52:48,1
164,2gzfV25nPfw6,22,,1,2,50,12,3,2,5,5,2,3,2,4,2021-08-26 17:52:37,2021-08-26 17:53:19,1
166,1qFMwYfZ3n8I,19,,1,2,25,1,1,2,14,2,2,3,2,6,2021-08-26 17:53:12,2021-08-26 17:54:27,1
169,ftzU4ntUXmSO,13,,1,1,24,28,1,2,1,6,2,3,2,4,2021-08-26 17:57:43,2021-08-26 17:58:30,1
171,ddtv2ZlZFwH5,22,,1,2,50,13,1,2,1,6,2,3,2,1,2021-08-26 18:00:19,2021-08-26 18:01:06,1
172,2vPF8aobbtnI,20,,1,2,35,13,1,2,14,2,2,3,2,1,2021-08-26 18:00:32,2021-08-26 18:01:00,0
173,H1XNEeEl0DxU,15,1,1,1,44,29,2,1,1,6,2,3,2,4,2021-08-26 18:00:50,2021-08-26 18:01:38,1
174,n0xnhG6RQI4X,17,,1,1,61,13,3,1,2,6,2,3,2,5,2021-08-26 18:00:53,2021-08-26 18:01:27,1
176,6wPI5RRUvPX3,14,,1,1,34,13,1,2,14,2,2,3,2,2,2021-08-26 18:02:32,2021-08-26 18:03:25,1
177,jPgOI19VwoOb,19,,1,2,24,13,1,2,5,2,2,3,2,1,2021-08-26 18:04:56,2021-08-26 18:05:42,1
178,J5xuPfJEzUBe,13,,1,1,29,4,1,2,14,2,2,3,2,5,2021-08-26 18:06:01,2021-08-26 18:06:28,0
186,dJqtaocPJGDP,14,,1,1,38,14,1,2,1,6,2,3,2,1,2021-08-26 18:12:43,2021-08-26 18:14:23,2
190,hVuEUaagDLrG,14,,1,1,33,27,3,2,9,6,2,3,2,4,2021-08-26 18:15:09,2021-08-26 18:21:09,6
191,mVbHbflgIwaI,19,,1,2,24,27,1,2,1,6,2,3,2,5,2021-08-26 18:15:33,2021-08-26 18:16:08,1
192,jsHE4av5jdFW,17,,1,1,61,13,1,2,1,2,2,3,2,1,2021-08-26 18:19:27,2021-08-26 18:20:07,1
197,b8XUWTKXSIM1,15,,1,1,48,12,1,2,11,6,2,3,2,4,2021-08-26 18:21:47,2021-08-26 18:22:34,1
202,lR8Z3PmsHUY3,8,,1,2,35,11,2,1,12,6,2,3,1,1,2021-08-26 18:30:18,2021-08-26 18:31:25,1
203,a0DaZQVIzAai,15,1,1,1,45,14,2,1,2,6,2,3,2,5,2021-08-26 18:30:26,2021-08-26 18:30:56,1
205,fKKOfy617pQz,21,1,1,2,49,13,2,2,12,6,2,3,2,2,2021-08-26 18:30:50,2021-08-26 18:33:28,3
206,FUyFyZ7HDang,21,1,1,2,43,40,3,1,1,1,2,3,2,1,2021-08-26 18:31:19,2021-08-26 18:33:35,2
207,eKq1hfeRZ39d,22,,1,2,55,32,1,2,14,6,2,3,2,5,2021-08-26 18:32:10,2021-08-26 18:33:43,2
208,LArE9cHsJpuu,21,,1,2,42,14,2,2,11,6,2,3,2,4,2021-08-26 18:35:27,2021-08-26 18:35:52,0
214,mBmVnSWEYOg8,21,,1,2,47,13,1,2,14,4,2,3,2,1,2021-08-26 18:39:06,2021-08-26 18:39:50,1
218,A5hRVXUj3Y35,20,1,1,2,35,13,1,2,14,2,2,3,2,5,2021-08-26 18:43:33,2021-08-26 18:59:59,16
219,8egcl6O2mubo,15,,1,1,43,14,1,2,11,4,2,3,2,1,2021-08-26 18:45:02,2021-08-26 18:45:51,1
220,HlQ1IBfe6aGz,20,,1,2,33,7,1,2,5,5,2,3,2,5,2021-08-26 18:47:10,2021-08-26 18:47:54,1
221,b6YPGKWFkZqa,16,,1,1,52,34,2,1,1,6,2,3,2,1,2021-08-26 18:47:38,2021-08-26 18:48:23,1
223,7U8xTXiIXs3F,13,,1,1,22,11,1,2,11,2,2,3,2,1,2021-08-26 18:49:25,2021-08-26 18:50:04,1
228,cl69uxwd1kvL,14,,1,1,31,20,1,2,4,6,2,3,2,4,2021-08-26 18:56:11,2021-08-26 18:56:49,1
229,Bx1JdJLDeRDQ,2,,1,1,34,11,1,2,11,1,2,3,1,5,2021-08-26 18:57:14,2021-08-26 18:57:45,1
230,a0AIGES7ghFN,13,1,1,1,20,4,1,2,13,6,2,3,2,6,2021-08-26 18:58:41,2021-08-26 18:59:28,1
235,hvM2ZyYAAPDM,14,,1,1,32,11,2,2,1,6,2,3,2,4,2021-08-26 19:01:47,2021-08-26 19:02:22,1
236,l3LuYi0pKFx7,13,,1,1,23,6,1,2,14,3,2,3,2,4,2021-08-26 19:02:54,2021-08-26 19:03:48,1
237,fnhlb7I2EtBM,7,1,1,2,24,45,1,2,5,2,2,3,1,1,2021-08-26 19:05:43,2021-08-26 19:06:37,1
238,kirI0h9U8Bvs,2,,1,1,32,13,1,2,1,6,2,3,1,4,2021-08-26 19:06:32,2021-08-26 19:07:29,1
240,iCso8ktsKtaC,21,,1,2,43,29,2,1,12,6,2,3,2,5,2021-08-26 19:08:30,2021-08-26 19:09:12,1
242,GzpeQz8Th8mn,21,,1,2,47,28,2,1,11,4,2,3,2,1,2021-08-26 19:09:44,2021-08-26 19:12:33,3
245,5k8PFnNdSNnG,20,,1,2,31,11,1,2,14,6,2,3,2,1,2021-08-26 19:15:48,2021-08-26 20:09:19,54
246,lVMfRAmERfB1,4,1,1,1,55,22,2,1,2,6,2,3,1,1,2021-08-26 19:16:04,2021-08-26 19:17:02,1
254,grlxk72bmGwD,19,,1,2,24,3,1,2,14,4,2,3,2,1,2021-08-26 19:26:45,2021-08-26 19:29:01,2
261,5uxTVeHQXq31,3,,1,1,43,12,2,1,1,6,2,3,1,2,2021-08-26 19:35:56,2021-08-26 19:37:04,1
263,Ei5ZmfH4Q9YW,20,,1,2,32,16,1,2,14,1,2,3,2,5,2021-08-26 19:38:42,2021-08-26 19:39:55,1
265,bUjgYAo4Az7O,10,,1,2,52,1,2,2,11,5,2,3,1,4,2021-08-26 19:39:23,2021-08-26 19:40:06,1
267,mnPgcjcy2IoY,1,,1,1,24,13,1,2,1,6,2,3,1,1,2021-08-26 19:41:07,2021-08-26 19:41:51,1
268,f4Fpsq04NF6s,13,1,1,1,24,12,1,2,14,2,2,3,2,4,2021-08-26 19:43:47,2021-08-26 19:44:55,1
269,JOF0x7inzFTg,14,,1,1,31,29,2,2,1,6,2,3,2,1,2021-08-26 19:44:05,2021-08-26 19:45:10,1
274,GUqvU7dvBstN,2,,1,1,37,14,1,2,1,6,2,3,1,4,2021-08-26 19:49:14,2021-08-26 19:49:54,1
277,ePzaMrwtzv0U,2,,1,1,38,23,1,2,6,6,2,3,1,4,2021-08-26 19:55:46,2021-08-26 19:57:54,2
284,5b9A8MneYNn4,20,,1,2,37,3,1,2,11,4,2,3,2,5,2021-08-26 20:01:46,2021-08-26 20:02:22,1
286,MX6rWHOTffhs,10,,1,2,57,1,2,2,12,2,2,3,1,4,2021-08-26 20:06:33,2021-08-26 20:07:34,1
289,MfxgL8EdduuT,14,,1,1,33,13,1,2,14,2,2,3,2,6,2021-08-26 20:10:37,2021-08-26 20:11:14,1
291,kmebJIC8RWAd,15,,1,1,46,33,2,1,4,6,2,3,2,4,2021-08-26 20:11:26,2021-08-26 20:12:01,1
294,LsOZsmzNZjd3,10,1,1,2,58,24,3,2,14,6,2,3,1,4,2021-08-26 20:12:40,2021-08-26 20:15:53,3
296,DeyM4lln3416,15,,1,1,40,43,1,2,5,2,2,3,2,1,2021-08-26 20:13:21,2021-08-26 20:14:40,1
297,LLOkZj75MJfg,8,1,1,2,32,11,1,2,11,7,2,3,1,2,2021-08-26 20:13:25,2021-08-26 20:14:08,1
298,9KtJYZCheL47,22,,1,2,50,44,2,1,12,2,2,3,2,4,2021-08-26 20:13:47,2021-08-26 20:14:25,1
303,MN7WeuqISvcZ,19,,1,2,21,42,1,2,11,2,2,3,2,1,2021-08-26 20:15:43,2021-08-26 20:16:27,1
305,JkofdDEtfShU,10,,1,2,55,24,2,2,11,2,2,3,1,1,2021-08-26 20:17:50,2021-08-26 20:18:32,1
308,cbuvi4KH8Pcf,3,,1,1,41,1,1,2,2,6,2,3,1,5,2021-08-26 20:20:03,2021-08-26 20:20:36,1
309,8bUyqCw0QG0y,3,,1,1,46,13,2,1,4,7,2,3,1,4,2021-08-26 20:20:41,2021-08-27 20:52:05,1471
314,ehRl35xsEZYS,3,,1,1,46,11,1,2,1,6,2,3,1,5,2021-08-26 20:22:44,2021-08-26 20:23:19,1
315,5ddy9Vf7z3dv,11,1,1,2,65,1,2,1,12,5,2,3,1,2,2021-08-26 20:23:38,2021-08-26 20:25:35,2
316,IcuTF9yAygL8,8,,1,2,34,11,1,2,1,6,2,3,1,1,2021-08-26 20:24:46,2021-08-26 20:25:20,1
318,ewWixeonDW1N,15,1,1,1,44,4,1,2,11,2,2,3,2,1,2021-08-26 20:25:58,2021-08-26 20:26:48,1
320,fIVfNv7zfjFs,17,1,1,1,65,14,2,1,14,2,2,3,2,1,2021-08-26 20:27:16,2021-08-26 20:28:17,1
321,DUzn5QBUEvCG,20,1,1,2,34,11,2,2,7,5,2,3,2,4,2021-08-26 20:27:19,2021-08-26 20:27:48,0
322,GsqSeB87eml9,5,,1,1,62,5,2,2,2,2,2,3,1,5,2021-08-26 20:27:54,2021-08-26 20:32:26,5
326,6cqLuaRnYhpe,4,,1,1,51,12,1,2,1,4,2,3,1,1,2021-08-26 20:28:37,2021-08-26 20:29:26,1
331,msQ9KXs7T33c,9,1,1,2,40,16,2,1,12,6,2,3,1,4,2021-08-26 20:33:07,2021-08-26 20:34:17,1
336,8aqlHNsFmMNZ,19,,1,2,26,14,1,2,4,6,2,3,2,3,2021-08-26 20:36:52,2021-08-26 20:38:08,1
339,LEP6qLNItql4,13,,1,1,24,34,1,2,1,6,2,3,2,1,2021-08-26 20:40:56,2021-08-26 20:41:34,1
341,fO3GpSgek6nq,18,1,1,1,73,29,2,2,14,6,2,3,2,4,2021-08-26 20:42:30,2021-08-26 20:43:40,1
342,BSLR7aosefFJ,7,,1,2,27,30,1,2,1,6,2,3,1,4,2021-08-26 20:42:36,2021-08-26 20:43:07,1
344,ji4qH8DlOpRx,15,,1,1,43,13,2,1,1,6,2,3,2,4,2021-08-26 20:42:51,2021-08-26 20:43:29,1
345,B9k0XMnLrZ10,13,,1,1,25,27,1,2,13,2,2,3,2,6,2021-08-26 20:42:54,2021-08-26 20:43:46,1
346,isRHm17LVaQv,11,,1,2,63,1,2,2,5,6,2,3,1,2,2021-08-26 20:43:07,2021-08-26 20:43:39,1
357,kCDpuvZmVp7v,21,,1,2,44,24,1,2,1,6,2,3,2,1,2021-08-26 21:02:16,2021-08-26 21:02:54,1
361,luvdwIuRH0to,20,,1,2,31,27,1,2,1,2,2,3,2,4,2021-08-26 21:06:49,2021-08-26 21:07:34,1
364,5ULVbkDePED0,14,,1,1,30,30,1,2,1,7,2,3,2,4,2021-08-26 21:07:58,2021-08-26 21:08:34,1
367,mGVj5zzEESHe,1,,1,1,28,13,1,2,1,6,2,3,1,4,2021-08-26 21:10:30,2021-08-26 21:11:09,1
368,3OIzdiWCZEky,2,,1,1,33,13,1,2,1,6,2,3,1,1,2021-08-26 21:10:32,2021-08-26 21:11:40,1
376,FdaX1rAuskhl,4,,1,1,52,8,3,1,1,2,2,3,1,4,2021-08-26 21:16:48,2021-08-26 21:17:35,1
377,7zYQ6jSs18R2,14,,1,1,31,28,1,2,1,4,2,3,2,5,2021-08-26 21:18:57,2021-08-26 21:19:40,1
379,3JxitHdmZoe9,14,,1,1,31,34,1,2,11,6,2,3,2,4,2021-08-26 21:20:25,2021-08-26 21:20:50,0
382,fmNFQUTi41df,15,,1,1,43,13,1,2,6,6,2,3,2,4,2021-08-26 21:24:08,2021-08-26 21:25:36,1
387,CoKfgD6vjqMt,23,,1,2,62,18,2,2,12,2,2,3,2,2,2021-08-26 21:28:43,2021-08-26 21:49:47,21
389,2qgSYw6KS0r4,19,,1,2,27,33,1,2,11,2,2,3,2,5,2021-08-26 21:31:32,2021-08-26 21:32:38,1
392,avM5UaqzJNZy,2,,1,1,36,38,2,1,1,6,2,3,1,4,2021-08-26 21:37:02,2021-08-26 21:37:53,1
395,gf0s9p6WAssk,15,,1,1,45,26,2,1,15,4,2,3,2,5,2021-08-26 21:38:29,2021-08-26 21:39:12,1
397,abDVFvcBPytm,19,,1,2,22,27,1,2,13,2,2,3,2,1,2021-08-26 21:42:29,2021-08-26 21:47:21,5
400,n4PhkHi5Tv0d,20,,1,2,35,23,1,2,11,2,2,3,2,1,2021-08-26 21:45:01,2021-08-26 21:46:18,1
403,hNOGl6qwLeQ1,15,,1,1,42,23,1,2,11,4,2,3,2,4,2021-08-26 21:51:52,2021-08-26 21:52:31,1
406,J9HmCg81TWOU,22,1,1,2,55,24,2,1,12,6,2,3,2,4,2021-08-26 21:54:15,2021-08-26 21:55:55,2
408,dRpPYzOLQ5sq,9,,1,2,48,14,2,1,11,6,2,3,1,4,2021-08-26 21:56:13,2021-08-26 21:56:52,1
409,am9ZmhP1fVPg,9,,1,2,43,26,2,1,11,6,2,3,1,1,2021-08-26 22:01:27,2021-08-26 22:02:05,1
414,6AUYMNJefM1c,20,,1,2,31,11,1,2,11,2,2,3,2,4,2021-08-26 22:09:40,2021-08-26 22:10:03,0
418,EF1t3tD58iki,19,,1,2,21,11,1,2,13,6,2,3,2,1,2021-08-26 22:14:42,2021-08-26 22:15:23,1
419,Flnd5zv2KCAA,15,1,1,1,48,37,2,1,2,6,2,3,2,1,2021-08-26 22:15:15,2021-08-26 22:16:08,1
421,BEhg09rhdV3R,20,,1,2,35,11,2,1,4,6,2,3,2,5,2021-08-26 22:17:08,2021-08-26 22:17:41,1
422,6AvmPEEeps8t,22,,1,2,52,12,1,2,7,6,2,3,2,5,2021-08-26 22:17:49,2021-08-26 22:18:31,1
427,gSK5Shlw1rV5,13,,1,1,23,23,1,2,1,6,2,3,2,4,2021-08-26 22:27:09,2021-08-26 22:28:02,1
428,6bPlxPPyNOkD,17,,1,1,68,1,3,2,11,2,2,3,2,4,2021-08-26 22:28:06,2021-08-26 22:29:00,1
430,8FXEYFmYM5oK,3,,1,1,46,38,2,1,4,7,2,3,1,4,2021-08-26 22:31:16,2021-08-26 22:31:57,1
432,BI2h4LTI480Q,14,,1,1,32,34,1,2,5,6,2,3,2,1,2021-08-26 22:37:02,2021-08-26 22:37:29,0
433,3G9RC0j02Xj8,14,,1,1,37,11,2,1,1,6,2,3,2,4,2021-08-26 22:38:01,2021-08-26 22:38:37,1
434,5PuYzICNJHiL,9,,1,2,48,40,1,2,1,6,2,3,1,1,2021-08-26 22:39:51,2021-08-26 22:40:40,1
436,b1hjTMVtCcbc,21,,1,2,41,26,1,2,11,6,2,3,2,4,2021-08-26 22:40:39,2021-08-26 22:41:34,1
437,cZPYql8Xf8QL,14,,1,1,35,45,1,2,11,6,2,3,2,4,2021-08-26 22:41:14,2021-08-26 22:41:57,1
442,Jt3PCKQWhgRr,21,,1,2,49,13,2,1,11,7,2,3,2,4,2021-08-26 22:56:19,2021-08-26 22:56:54,1
443,d6G5dXZ4fomH,20,,1,2,32,14,1,2,1,6,2,3,2,4,2021-08-26 22:57:02,2021-08-26 22:57:59,1
444,128hTBTSI1wy,9,1,1,2,42,28,2,1,12,5,2,3,1,4,2021-08-26 22:59:36,2021-08-26 23:02:59,3
447,2BBn7dNwBEvm,15,,1,1,40,13,1,2,3,4,2,3,2,2,2021-08-26 23:05:58,2021-08-26 23:06:37,1
449,12oOI05MUcRn,15,,1,1,41,29,1,2,1,6,2,3,2,4,2021-08-26 23:06:54,2021-08-26 23:10:49,4
455,7Uff2viZVYpZ,9,,1,2,46,14,1,2,14,5,2,3,1,6,2021-08-26 23:26:11,2021-08-26 23:29:26,3
457,LQQWGw9pQqRy,19,,1,2,23,38,1,2,1,6,2,3,2,1,2021-08-26 23:32:24,2021-08-26 23:32:54,1
458,H51ZarwAP1Ly,16,,1,1,56,35,2,1,4,6,2,3,2,4,2021-08-26 23:32:46,2021-08-26 23:33:34,1
460,kbj46CdhWLZ3,21,,1,2,47,27,2,1,11,2,2,3,2,4,2021-08-26 23:35:21,2021-08-26 23:36:55,2
