no,id,group,firstParti,sndParti,gender,age,residentArea,maritalStatus,children,occupation,education,covidInfecRecord,vaccRecord1stSurvey,vaccReservation,device,start_time,end_time,time
462,23ulRg47CCNK,9,,1,2,46,34,2,1,12,5,2,3,1,1,2021-08-26 23:44:13,2021-08-26 23:45:00,1
463,lvk4LNHLoAfo,1,,1,1,25,25,1,2,1,7,2,3,1,4,2021-08-26 23:47:34,2021-08-26 23:48:11,1
466,dpXcfrq6EplM,20,,1,2,32,33,1,2,14,4,2,3,2,5,2021-08-26 23:50:10,2021-08-26 23:52:05,2
471,fUjkRCvfRPJ0,9,1,1,2,44,14,2,1,7,4,2,3,1,1,2021-08-27 0:09:40,2021-08-27 0:10:41,1
473,jam9kfwaN5MK,1,,1,1,29,13,1,2,1,6,2,3,1,1,2021-08-27 0:21:33,2021-08-27 0:26:54,5
474,k0az1Muja2XR,8,1,1,2,32,29,2,1,12,2,2,3,1,1,2021-08-27 0:24:51,2021-08-27 0:25:28,1
475,mKPgyGpwKV72,9,1,1,2,43,14,1,2,1,6,2,3,1,5,2021-08-27 0:26:33,2021-08-27 0:27:28,1
476,K4Iszdwb1lwA,10,1,1,2,50,40,3,1,14,4,2,3,1,1,2021-08-27 0:40:04,2021-08-27 0:41:00,1
480,eQCZONRjNhkb,23,,1,2,68,35,2,2,12,6,2,3,2,2,2021-08-27 0:51:28,2021-08-27 0:52:13,1
483,jTnSbbOoXbUm,15,,1,1,41,27,1,2,14,4,2,3,2,5,2021-08-27 1:00:15,2021-08-27 1:02:27,2
484,k6mUC2XB78Ue,8,,1,2,39,1,1,2,5,2,2,3,1,5,2021-08-27 1:09:51,2021-08-27 1:10:37,1
487,F5Lvot7vj6pu,2,,1,1,30,12,1,2,1,6,2,3,1,5,2021-08-27 1:50:30,2021-08-27 1:52:13,2
488,FywqunU6IhL7,14,,1,1,35,27,1,2,14,1,2,3,2,5,2021-08-27 1:59:15,2021-08-27 2:00:20,1
490,FK6xj4TTmVKB,20,,1,2,32,9,1,2,1,2,2,3,2,1,2021-08-27 2:13:05,2021-08-27 2:13:49,1
491,LCdOGhrrhCbp,22,,1,2,54,4,2,1,12,4,2,3,2,4,2021-08-27 3:36:56,2021-08-27 3:38:02,1
492,5ux42TnumRMh,15,,1,1,44,12,1,2,1,6,2,3,2,5,2021-08-27 4:09:06,2021-08-27 4:09:35,0
494,6NMQTMp8uB13,13,,1,1,29,1,1,2,1,4,2,3,2,1,2021-08-27 4:36:31,2021-08-27 4:37:47,1
495,ghMGBNuxnFTv,22,1,1,2,52,27,2,1,14,2,2,3,2,1,2021-08-27 4:52:05,2021-08-27 4:53:03,1
496,hm8kekUFrH5y,1,,1,1,29,13,1,2,1,6,2,3,1,5,2021-08-27 4:55:20,2021-08-27 5:03:37,8
497,IQkdvaqNf8vT,10,1,1,2,50,11,2,1,11,4,2,3,1,4,2021-08-27 5:19:42,2021-08-27 5:20:52,1
501,F5SKAF5AN5Du,15,,1,1,45,21,2,1,1,6,2,3,2,4,2021-08-27 5:35:27,2021-08-27 5:36:14,1
508,JBW2B1vsLyqf,3,1,1,1,41,13,1,2,11,6,2,3,1,4,2021-08-27 6:11:38,2021-08-27 6:12:20,1
510,CBB8mOisMesU,16,,1,1,50,1,1,2,5,7,2,3,2,5,2021-08-27 6:16:26,2021-08-27 6:17:02,1
516,EDCGjpDqdWUA,14,,1,1,31,13,1,2,1,6,2,3,2,5,2021-08-27 6:44:09,2021-08-27 6:44:48,1
519,IQvLivuh2rlB,23,1,1,2,67,1,2,1,12,4,2,3,2,4,2021-08-27 6:57:55,2021-08-27 6:58:57,1
526,jOmgdNhkVhkp,18,,1,1,74,27,2,1,14,2,2,3,2,4,2021-08-27 7:17:38,2021-08-27 7:18:50,1
530,c7yy8048m8WV,15,,1,1,48,20,1,2,14,6,2,3,2,4,2021-08-27 7:43:52,2021-08-27 7:44:39,1
531,bUkzGkcvUfwf,14,,1,1,38,41,2,1,6,6,2,3,2,5,2021-08-27 7:44:27,2021-08-27 7:45:05,1
536,2tEAnU2JkvPY,17,1,1,1,68,28,2,1,14,2,2,3,2,4,2021-08-27 7:54:29,2021-08-27 7:56:39,2
540,6Nd5secwPVwW,19,1,1,2,20,1,1,2,14,4,2,3,2,1,2021-08-27 8:16:14,2021-08-27 8:17:01,1
544,5NrEjLiLimM6,1,,1,1,21,26,1,2,13,2,2,3,1,4,2021-08-27 8:29:24,2021-08-27 8:29:58,1
545,mOKfQDwEkDbA,22,,1,2,51,14,2,2,1,6,2,3,2,4,2021-08-27 8:41:06,2021-08-27 8:41:47,1
548,9JzwCi2GvQJH,16,,1,1,54,10,2,1,1,6,2,3,2,4,2021-08-27 8:52:47,2021-08-27 8:53:30,1
554,hpwSBCk7A5WR,19,,1,2,21,13,1,2,13,2,2,3,2,4,2021-08-27 9:03:48,2021-08-27 9:04:48,1
556,h624KFFqymcH,19,,1,2,29,19,1,2,14,6,2,3,2,4,2021-08-27 9:05:14,2021-08-27 9:05:47,1
561,M7G7qDB0o2uM,2,,1,1,31,13,1,2,1,6,2,3,1,4,2021-08-27 9:14:28,2021-08-28 23:35:42,2301
563,aoZpsD1zxNyu,7,,1,2,26,13,1,2,5,6,2,3,1,5,2021-08-27 9:20:03,2021-08-27 9:20:48,1
564,6njuTeRV9icW,15,1,1,1,44,12,2,1,3,6,2,3,2,5,2021-08-27 9:31:20,2021-08-27 9:32:01,1
565,9mdluoIkxrMf,21,,1,2,45,1,2,1,12,4,2,3,2,5,2021-08-27 9:43:30,2021-08-27 9:44:05,1
568,FUGrmskmrkdH,20,,1,2,37,12,1,2,1,5,2,3,2,2,2021-08-27 9:54:16,2021-08-27 9:55:38,1
570,4Cml7rDW1lfL,10,,1,2,50,33,2,2,12,2,2,3,1,4,2021-08-27 9:59:13,2021-08-27 10:00:04,1
574,auWjIxNDvFaN,19,1,1,2,28,1,1,2,11,4,2,3,2,1,2021-08-27 10:28:18,2021-08-27 10:29:02,1
576,lToBvbmw8gyW,21,1,1,2,47,1,1,2,1,4,2,3,2,1,2021-08-27 10:33:24,2021-08-27 10:34:10,1
578,JZBsm9WZOGho,19,,1,2,25,27,1,2,1,6,2,3,2,4,2021-08-27 10:43:52,2021-08-27 10:44:16,0
589,nLDeecGuhZyJ,22,1,,2,51,28,2,1,12,2,2,3,2,2,2021-08-27 11:02:32,2021-08-27 11:03:16,1
590,Qj2EYUD1PIuw,21,1,,2,44,35,1,2,5,6,2,3,2,4,2021-08-27 11:03:05,2021-08-27 11:05:02,2
593,ZnpRxndrz4Uw,14,1,,1,35,13,1,2,11,2,2,3,2,1,2021-08-27 11:06:51,2021-08-27 11:07:25,1
595,TPAbAfZ0zTHw,21,1,,2,40,13,1,2,5,6,2,3,2,5,2021-08-27 11:12:28,2021-08-27 11:12:59,1
597,cqhUgTVurDRo,7,,1,2,25,14,1,2,13,2,2,3,1,1,2021-08-27 11:13:32,2021-08-27 11:14:20,1
601,s8Z8bd2OWUyW,14,1,,1,34,12,1,2,14,1,2,3,2,4,2021-08-27 11:19:18,2021-08-27 11:20:00,1
602,V2xE5t6iINTQ,20,1,,2,35,14,2,1,12,2,2,3,2,1,2021-08-27 11:19:21,2021-08-27 11:20:11,1
605,x2YoNqdyRPje,19,1,,2,21,13,1,2,13,2,2,3,2,1,2021-08-27 11:21:33,2021-08-27 11:23:04,2
613,rU6Db8pruNp3,18,1,,1,71,27,2,2,14,1,2,3,2,1,2021-08-27 11:33:39,2021-08-27 11:34:42,1
618,stqd7ZoCC2ri,16,1,,1,58,37,2,1,6,6,2,3,2,4,2021-08-27 11:43:32,2021-08-27 11:44:11,1
621,X1NiSEemGb3A,9,1,,2,45,8,2,1,6,5,2,3,1,2,2021-08-27 11:48:57,2021-08-27 11:49:58,1
624,pSr36QuKl4Mh,9,1,,2,42,16,2,1,11,6,2,3,1,5,2021-08-27 11:52:20,2021-08-27 11:52:54,1
628,NNETntw0MHW0,13,1,,1,24,38,1,2,1,3,2,3,2,5,2021-08-27 12:00:37,2021-08-27 12:01:38,1
631,Ohx8wclj2ATh,14,1,,1,37,14,2,1,1,7,2,3,2,3,2021-08-27 12:03:55,2021-08-27 12:04:24,0
632,UaegZ6zdqCHn,15,1,,1,42,14,2,1,1,2,2,3,2,1,2021-08-27 12:04:32,2021-08-27 12:05:10,1
633,qSTC6LdOvrVj,15,1,,1,43,27,2,1,1,6,2,3,2,4,2021-08-27 12:11:56,2021-08-27 12:12:25,0
634,g9RxCbKXrUkK,19,,1,2,26,3,1,2,13,2,2,3,2,4,2021-08-27 12:07:16,2021-08-27 12:08:15,1
635,asPxhR2HC2PY,1,1,1,1,26,23,2,2,1,4,2,3,1,1,2021-08-27 12:09:17,2021-08-27 18:34:32,385
637,rzxGKrymDVmX,4,1,,1,57,27,2,1,1,4,2,3,1,4,2021-08-27 12:13:44,2021-08-27 12:14:44,1
640,xmQ8bXNupfGU,3,1,,1,46,12,1,2,1,6,2,3,1,2,2021-08-27 12:15:46,2021-08-27 12:16:33,1
641,rYRLNNhliARb,4,1,,1,51,45,2,2,14,6,2,3,1,4,2021-08-27 12:23:02,2021-08-27 12:23:46,1
644,TSiLAK9ywWPR,16,1,,1,53,4,2,1,6,2,2,3,2,4,2021-08-27 12:29:20,2021-08-28 9:49:11,1280
652,EnU6pba2Vpgj,3,1,1,1,48,27,1,2,14,7,2,3,1,5,2021-08-27 12:46:43,2021-08-27 12:47:21,1
655,n80kO7pxEFx4,16,1,,1,51,13,2,2,2,6,2,3,2,1,2021-08-27 13:03:31,2021-08-27 13:04:50,1
656,zYXpqpg1Djgb,13,1,,1,23,27,1,2,1,6,2,3,2,1,2021-08-27 13:04:21,2021-08-27 13:05:15,1
663,SkV0mmI2TldX,9,1,,2,43,13,1,2,1,6,2,3,1,1,2021-08-27 13:09:36,2021-08-27 13:10:27,1
664,n5wqIsDx4tQx,3,1,,1,49,28,2,1,2,6,2,3,1,1,2021-08-27 13:11:22,2021-08-27 13:12:16,1
669,TS3qUaLStMQi,21,1,,2,43,29,1,2,15,2,2,3,2,1,2021-08-27 13:30:44,2021-08-27 13:31:42,1
673,Vd9FAYh3sEXC,19,1,,2,24,3,1,2,14,5,2,3,2,1,2021-08-27 13:36:49,2021-08-27 13:37:21,1
676,OyVGtso7nLll,18,1,,1,71,11,3,2,14,2,2,3,2,4,2021-08-27 13:41:26,2021-08-27 13:42:39,1
681,xSp0f8HOqjO4,15,1,,1,42,35,1,2,6,2,2,3,2,4,2021-08-27 13:59:35,2021-08-27 14:05:32,6
683,z5t52JBwY56z,23,1,,2,64,17,2,1,11,7,2,3,2,4,2021-08-27 14:03:32,2021-08-27 14:04:12,1
686,UhGJ5vrs8d77,15,1,,1,40,34,2,1,1,2,2,3,2,1,2021-08-27 14:20:19,2021-08-27 14:20:57,1
691,eUQlpJNRRbpj,20,,1,2,33,15,2,2,11,6,2,3,2,4,2021-08-27 14:46:41,2021-08-27 14:47:27,1
695,OMYy3EtfAqfA,8,1,,2,36,12,2,1,11,5,2,3,1,1,2021-08-27 15:07:04,2021-08-27 15:07:39,1
697,3tFg384c1fPp,13,,1,1,20,18,1,2,13,2,2,3,2,4,2021-08-27 15:13:29,2021-08-27 15:14:17,1
699,YYTr3rOjEBAP,20,1,,2,32,29,1,2,11,6,2,3,2,5,2021-08-27 15:17:50,2021-08-27 15:18:28,1
700,RWRSWmn3tOR3,21,1,,2,45,1,2,2,11,6,2,3,2,4,2021-08-27 15:29:37,2021-08-27 15:30:32,1
704,q7izOzMPNzFB,19,1,,2,28,21,2,1,11,6,2,3,2,1,2021-08-27 16:09:01,2021-08-27 16:09:59,1
706,9LWWm9PQnnGc,20,,1,2,38,1,2,1,11,2,2,3,2,5,2021-08-27 16:14:08,2021-08-27 16:14:41,1
710,3iDruSqCq0ma,20,,1,2,33,11,1,2,14,5,2,3,2,4,2021-08-27 16:26:40,2021-08-27 16:27:26,1
711,6bs84OdDTx0j,4,,1,1,50,45,1,2,4,6,2,3,1,4,2021-08-27 16:29:04,2021-08-27 16:29:42,1
715,J4ez7jYpCKNL,13,1,,1,24,27,1,2,15,6,2,3,2,1,2021-08-27 16:58:14,2021-08-27 16:58:47,1
719,ZjuTsWXujfXd,3,1,,1,44,42,2,1,4,2,2,3,1,1,2021-08-27 17:10:21,2021-08-27 17:11:03,1
720,jeM2E4IghJFh,20,,1,2,39,35,3,1,14,2,2,3,2,4,2021-08-27 17:15:40,2021-08-27 17:17:13,2
721,QzJXL049IU3v,22,1,,2,57,13,3,1,11,2,2,3,2,4,2021-08-27 17:19:33,2021-08-27 17:24:15,5
722,AgDOXqaNL9CL,21,,1,2,40,17,2,1,1,2,2,3,2,1,2021-08-27 17:21:02,2021-08-27 17:21:45,1
723,6pvLOYyFFYCP,23,,1,2,64,11,2,1,12,2,2,3,2,4,2021-08-27 17:28:48,2021-08-27 17:29:57,1
727,zrP1X6WWUdr7,16,1,,1,52,27,2,1,2,2,2,3,2,4,2021-08-27 18:01:11,2021-08-27 18:02:38,1
732,iX9oyt2GF3vE,9,,1,2,47,8,1,2,15,4,2,3,1,1,2021-08-27 18:44:09,2021-08-27 18:45:08,1
733,S7ouNpubAfSN,20,1,,2,39,27,2,1,11,6,2,3,2,1,2021-08-27 18:46:14,2021-08-27 18:48:00,2
735,2inQIEqf7Qmg,15,,1,1,46,1,1,2,1,7,2,3,2,5,2021-08-27 19:14:24,2021-08-27 19:14:55,1
736,WES6q0lySfVB,20,1,,2,33,15,2,2,11,2,2,3,2,1,2021-08-27 19:15:28,2021-08-27 19:16:07,1
739,rlrtDYJXIK7R,16,1,,1,57,9,1,2,6,2,2,3,2,4,2021-08-27 20:00:15,2021-08-27 20:01:07,1
740,OBVi4MYZn3LL,3,1,,1,49,14,2,2,6,2,2,3,1,1,2021-08-27 20:05:20,2021-08-27 20:06:27,1
746,v9doyQrxCyRP,9,1,,2,41,14,1,2,1,6,2,3,1,1,2021-08-27 20:45:43,2021-08-27 20:46:29,1
748,yX1yTJbmxwrc,4,1,,1,57,12,2,1,2,6,2,3,1,5,2021-08-27 20:56:46,2021-08-27 20:57:30,1
749,VpXJiF5D4kua,16,1,,1,51,28,2,1,1,6,2,3,2,1,2021-08-27 21:12:38,2021-08-27 21:14:44,2
750,c2L1l0bTIr9C,15,,1,1,44,23,1,2,1,6,2,3,2,1,2021-08-27 21:24:23,2021-08-27 21:25:02,1
751,WqV3oFQNJeJH,22,1,,2,58,14,2,2,11,2,2,3,2,1,2021-08-27 21:26:11,2021-08-27 21:27:49,2
754,HACoAEEIoNSk,17,1,1,1,67,14,2,1,5,6,2,3,2,4,2021-08-27 21:33:37,2021-08-27 21:34:57,1
756,oVyIenEtdov2,21,1,,2,41,37,2,1,1,6,2,3,2,4,2021-08-27 21:50:46,2021-08-27 21:51:12,0
761,vcg7QIpnwLlG,2,1,,1,36,7,1,2,1,2,2,3,1,4,2021-08-27 22:21:24,2021-08-27 22:22:20,1
768,yhUIbp8k1A6s,14,1,,1,36,7,1,2,1,4,2,3,2,1,2021-08-30 17:18:38,2021-08-30 17:19:19,1
770,frXksKumn7Nz,22,1,,2,54,12,1,2,14,5,2,3,2,5,2021-08-28 0:04:18,2021-08-28 0:05:05,1
771,88mN2AEobjDK,13,,1,1,23,22,1,2,11,4,2,3,2,4,2021-08-28 0:45:41,2021-08-28 0:46:28,1
772,R19PHO94MNHL,10,1,,2,52,11,2,1,1,2,2,3,1,1,2021-08-28 0:47:09,2021-08-28 0:48:28,1
775,Y6HgFy2cPf0N,4,1,,1,59,13,3,2,6,6,2,3,1,2,2021-08-28 2:11:12,2021-08-28 2:12:02,1
776,a6DnORqDRiL5,14,,1,1,33,15,1,2,1,7,2,3,2,1,2021-08-28 4:07:12,2021-08-28 4:07:55,1
777,imAGGeuCbRAo,14,,1,1,30,1,1,2,14,6,2,3,2,4,2021-08-28 4:16:30,2021-08-28 4:18:10,2
782,zGUrYdh7ODqK,14,1,,1,32,15,2,1,4,6,2,3,2,5,2021-08-28 7:26:43,2021-08-28 7:27:19,1
785,LynLSzs8N8SB,14,,1,1,38,14,1,2,1,7,2,3,2,4,2021-08-28 7:47:53,2021-08-28 7:48:29,1
786,r1arDp5t8auX,9,1,,2,46,23,2,1,11,6,2,3,1,5,2021-08-28 7:53:13,2021-08-28 7:53:37,0
793,KDnM9Bnf0Xxe,19,,1,2,22,42,2,2,12,2,2,3,2,4,2021-08-28 9:41:44,2021-08-28 9:42:20,1
794,n7OK2loF2wo5,8,1,,2,33,11,2,1,12,6,2,3,1,4,2021-08-28 9:43:19,2021-08-28 9:44:05,1
800,iHWs1HVwRxiH,1,,1,1,22,28,1,2,1,6,2,3,1,1,2021-08-28 10:58:34,2021-08-28 10:59:57,1
802,B5q3JWEXGHw2,13,,1,1,25,14,1,2,1,4,2,3,2,4,2021-08-28 11:05:59,2021-08-28 11:08:46,3
805,1Q1f6z24TdTh,20,1,1,2,36,40,2,1,1,2,2,3,2,1,2021-08-28 11:26:23,2021-08-28 11:27:07,1
808,iVWfmk2pwfuO,22,1,1,2,54,12,1,2,5,5,2,3,2,4,2021-08-28 11:57:07,2021-08-28 11:57:40,1
809,tVXHE6kEbE3w,23,1,,2,67,14,2,1,12,6,2,3,2,2,2021-08-28 12:15:52,2021-08-28 12:16:54,1
810,RVpVRZKZhlHG,14,1,,1,34,23,1,2,5,6,2,3,2,4,2021-08-28 12:23:42,2021-08-28 12:24:26,1
821,4XkC1pmmC3da,21,,1,2,44,13,1,2,1,7,2,3,2,1,2021-08-28 17:30:17,2021-08-28 17:31:30,1
826,ad6yoFFJGivm,16,1,1,1,56,13,2,2,7,6,2,3,2,4,2021-08-28 18:10:28,2021-08-28 18:11:11,1
828,DOXofMCy9qcl,13,,1,1,25,5,1,2,14,2,2,3,2,1,2021-08-28 18:58:36,2021-08-28 18:59:18,1
831,1RWbB731oZ06,2,,1,1,38,20,1,2,4,6,2,3,1,4,2021-08-28 19:43:13,2021-08-28 19:46:40,3
838,Mk9EFytliLWp,21,,1,2,42,42,1,2,1,5,2,3,2,4,2021-08-28 23:29:16,2021-08-28 23:32:06,3
849,kVkQs31P8cgR,15,,1,1,46,14,2,1,1,6,2,3,2,5,2021-08-29 11:20:53,2021-08-29 11:21:23,1
851,AtqCi8aQclUo,20,,1,2,30,27,2,1,12,2,2,3,2,2,2021-08-29 13:27:07,2021-08-29 13:27:37,1
852,Zybkc5bWwgEN,13,1,,1,22,23,1,2,1,6,2,3,2,1,2021-08-29 13:53:48,2021-08-29 13:55:03,1
853,2dPF0ihNu6Ok,12,1,1,2,70,28,2,1,1,5,2,3,1,1,2021-08-29 14:28:40,2021-08-29 14:30:11,2
854,DVWWflcNRhZJ,19,,1,2,24,14,1,2,1,6,2,3,2,4,2021-08-29 14:57:31,2021-08-29 14:59:25,2
859,QcAfqdYZUten,13,1,,1,23,40,1,2,1,6,2,3,2,3,2021-08-29 16:42:13,2021-08-29 16:42:40,0
860,LKL6CTbXjQYV,20,,1,2,34,11,1,2,11,6,2,3,2,4,2021-08-29 18:09:40,2021-08-29 18:10:24,1
862,l8QONb93zXAe,19,,1,2,24,28,1,2,11,1,2,3,2,1,2021-08-29 18:24:20,2021-08-29 18:27:52,4
866,l4PxqhZI86bz,8,,1,2,30,1,1,2,1,6,2,3,1,4,2021-08-29 20:25:38,2021-08-29 20:27:10,2
872,L8WKQizUixPn,19,,1,2,28,13,1,2,5,6,2,3,2,5,2021-08-29 23:21:07,2021-08-29 23:21:44,1
879,3LYuGZmdcKAi,9,1,1,2,48,14,2,1,11,5,2,3,1,1,2021-08-30 6:59:49,2021-08-30 7:01:08,1
882,sswXfC0sxI7Q,8,1,,2,33,21,2,1,11,2,2,3,1,1,2021-08-30 12:38:32,2021-08-30 12:39:38,1
886,asTqdpENW0YG,2,,1,1,33,33,1,2,11,2,2,3,1,4,2021-08-30 18:09:13,2021-08-30 18:09:36,0
896,QkMyMUK0Q6AZ,22,,,2,57,26,1,2,11,2,2,3,2,2,2021-08-27 20:10:47,2021-08-27 20:11:47,1
899,2dCVL0N84EFn,7,,,2,20,1,1,2,13,6,2,3,1,1,2021-08-27 20:12:33,2021-08-27 20:13:12,1
903,aGMHyvDYopAO,24,,,2,71,13,3,2,14,2,2,3,2,4,2021-08-27 20:17:58,2021-08-27 20:19:35,2
905,IuM6jsn61baP,20,,,2,38,14,1,2,1,2,2,3,2,1,2021-08-27 20:21:26,2021-08-27 20:22:03,1
908,eYhqbSuRJt2a,2,,,1,37,15,2,2,4,6,2,3,1,2,2021-08-27 20:24:47,2021-08-27 20:25:54,1
910,IKjPckUZrEtl,3,,,1,47,22,1,2,4,7,2,3,1,4,2021-08-27 20:26:10,2021-08-27 20:27:11,1
912,Nfjh79Xni5Wk,14,,,1,35,14,1,2,1,7,2,3,2,1,2021-08-27 20:28:03,2021-08-27 20:28:57,1
913,BpfsgHBfObeI,15,,,1,46,20,1,2,1,6,2,3,2,5,2021-08-27 20:28:23,2021-08-27 20:29:37,1
914,fVXB2pKcKo4M,14,,,1,39,4,1,2,14,1,2,3,2,4,2021-08-27 20:28:58,2021-08-27 20:29:48,1
920,x9YGlJWYfMTB,16,,,1,59,20,1,2,1,2,2,3,2,1,2021-08-27 20:40:34,2021-08-27 20:41:30,1
927,rS1aFzT4AYLH,23,,,2,65,1,2,1,12,2,2,3,2,5,2021-08-27 20:56:53,2021-08-27 20:57:31,1
931,AMLFSCIRpOfB,13,,,1,27,13,1,2,1,6,2,3,2,4,2021-08-27 21:01:57,2021-08-27 21:19:22,17
933,xquFOH3xTXIF,13,,,1,21,19,1,2,11,8,2,3,2,6,2021-08-27 21:03:28,2021-08-27 21:04:16,1
935,Zq2C67WXsbsN,21,,,2,43,21,3,2,14,6,2,3,2,1,2021-08-27 21:04:32,2021-08-27 21:05:23,1
936,DUre6TrXAj9X,14,,,1,39,1,1,2,1,1,2,3,2,5,2021-08-27 21:04:42,2021-08-27 21:05:31,1
937,gMGvxcnwu18p,24,,,2,71,12,3,1,14,5,2,3,2,4,2021-08-27 21:04:48,2021-08-27 21:05:36,1
938,qunDc33P8DtR,13,,,1,29,13,1,2,14,2,2,3,2,4,2021-08-27 21:05:43,2021-08-27 21:06:50,1
945,td4IUftqyleh,10,,,2,56,28,2,1,11,2,2,3,1,4,2021-08-27 21:12:12,2021-08-27 21:13:05,1
946,HXlbIbGFZXkN,13,,,1,20,19,1,2,13,2,2,3,2,4,2021-08-27 21:12:44,2021-08-27 21:13:19,1
954,iEjbWFZUAM69,14,,,1,36,13,1,2,1,4,2,3,2,1,2021-08-27 21:15:42,2021-08-27 21:16:24,1
957,QTpbY6qBJEWN,13,,,1,29,28,1,2,1,2,2,3,2,1,2021-08-27 21:22:01,2021-08-27 21:22:39,1
961,bKH8V6eOeQPk,20,,,2,39,1,2,1,12,2,2,3,2,5,2021-08-27 21:22:32,2021-08-27 21:23:12,1
963,aRd81hM5oHXp,14,,,1,36,27,2,1,1,6,2,3,2,1,2021-08-27 21:25:25,2021-08-27 21:26:22,1
967,xAy0coUnNOFe,20,,,2,39,11,2,1,12,4,2,3,2,1,2021-08-27 21:32:03,2021-08-27 21:35:30,3
968,F8XxHxlB5NqJ,13,,,1,24,28,1,2,1,6,2,3,2,2,2021-08-27 21:32:06,2021-08-27 21:32:54,1
970,7DJ1g1WbkyzF,14,,,1,38,12,1,2,14,6,2,3,2,4,2021-08-27 21:34:07,2021-08-27 21:34:53,1
972,WlzfLo2LRQKI,20,,,2,31,28,2,1,4,6,2,3,2,1,2021-08-27 21:34:55,2021-08-27 21:35:39,1
974,nkTMNXQLCRKn,19,,,2,26,13,1,2,1,6,2,3,2,2,2021-08-27 21:36:49,2021-08-27 21:37:51,1
975,xb2nfjG8sT1C,13,,,1,29,13,1,2,1,4,2,3,2,1,2021-08-27 21:37:02,2021-08-27 21:38:04,1
977,DX6W4FKKXCJ2,19,,,2,23,13,2,1,12,2,2,3,2,1,2021-08-27 21:40:28,2021-08-27 21:41:14,1
985,LWHydh3xmGyi,16,,,1,50,27,1,2,1,6,2,3,2,5,2021-08-27 21:49:17,2021-08-27 21:49:59,1
988,xdj0ACSOtQaP,20,,,2,38,27,2,2,1,6,2,3,2,2,2021-08-27 21:52:11,2021-08-27 21:53:36,1
989,Ir0v0JoFhWFQ,20,,,2,32,28,1,2,11,2,2,3,2,1,2021-08-27 21:53:01,2021-08-27 21:53:37,1
991,xzVA6wpZVfcz,2,,,1,33,23,1,2,14,6,2,3,1,1,2021-08-27 21:55:38,2021-08-27 21:56:25,1
993,rJJfFIDfaDqG,9,,,2,45,1,2,2,11,2,2,3,1,1,2021-08-27 21:57:45,2021-08-27 21:59:17,2
996,M7rjooKNuVWI,21,,,2,47,42,2,1,12,5,2,3,2,4,2021-08-27 22:02:47,2021-08-27 22:04:22,2
1011,wts0dG6yN9eN,13,,,1,25,13,2,1,9,6,2,3,2,5,2021-08-27 22:17:09,2021-08-27 22:18:09,1
1017,peKvFLSFZMiB,20,,,2,38,22,1,2,14,4,2,3,2,4,2021-08-27 22:22:54,2021-08-27 22:23:27,1
1018,AQcdqvwvUoFU,13,,,1,24,13,1,2,13,7,2,3,2,1,2021-08-27 22:23:15,2021-08-27 22:23:48,1
1020,ebCU5oi0xNeE,19,,,2,27,40,2,1,1,2,2,3,2,2,2021-08-27 22:26:18,2021-08-27 22:27:15,1
1021,TAoVzdzQ6grQ,14,,,1,35,25,1,2,11,2,2,3,2,4,2021-08-27 22:27:31,2021-08-27 22:28:11,1
