"","age","gender","education","Safeness_1","Safeness_2","Safeness_3","Safeness_4","Effectiveness_1","Effectiveness_2","Effectiveness_3","Effectiveness_4","HBM_average_benefit_3","HBM_average_benefit_4","HBM_average_risk_3","HBM_average_risk_4","HBM_average_acceptance_3","HBM_average_acceptance_4","num_vaccination_2","num_vaccination_3","num_vaccination_4","CT","berlin_correct_count","mean_subjective_numeracy","health_correct_count","numAttitude_average"
"age",0,0.504129188047942,0.267942059917748,0.506707691029709,0.618874083280096,0.64433271824901,0.186031335947688,0.0562534218636469,0.126868971676691,0.615461716664898,0.203285837724835,0.181433722828448,0.107940671856726,0.294484914113769,0.0587760847558467,0.333517713413609,0.0364736158979958,0.010562579410103,0.0858846453687079,0.0815470327431686,0.549663481709778,0.161653646905478,0.230023954171216,0.837442141794784,0.140919401904799
"gender",0.504129188047942,0,0.028960417318399,0.0571905030594447,0.853033657962047,0.725244012889665,0.380021658077181,0.377239341188149,0.878190114405571,0.513149748775859,0.648345180174733,0.32049335821895,0.466535454559028,0.0160623964548008,0.00639358118084175,0.850994619984607,0.0466757706830794,0.371842204599456,0.54990276025418,0.600980273108772,0.642958916445343,0.00622276522676318,0.87574846711924,0.299102014322337,0.307371642874811
"education",0.267942059917748,0.028960417318399,0,0.314864251956433,0.862882228378852,0.780771490342577,0.90666357295544,0.660678233809229,0.547471937983625,0.49747588126184,0.752307947955854,0.774967950294914,0.748803603939878,0.75196263010392,0.909721736099353,0.228073939023618,0.918342683082772,0.964062513546388,0.912822827226931,0.918561007748629,0.00821904561440288,0.00192440845334056,0.806135810963264,0.0245701787842557,0.0422447977698964
"Safeness_1",0.506707691029709,0.0571905030594447,0.314864251956433,0,1.66174853449961e-12,3.24952337101443e-12,5.71234505482775e-15,2.3083552852087e-18,5.57864388192198e-11,1.05877780213421e-10,6.24988084906219e-11,1.99691584088496e-17,2.04388522299012e-12,5.34594770761848e-12,3.03774280574958e-13,2.95711897864348e-07,0.00375790369097945,9.90316309163796e-06,3.09570488343057e-06,4.75039671601446e-07,0.540388682258608,0.21172135363803,0.397580960662484,0.0535785623653582,0.966637676875638
"Safeness_2",0.618874083280096,0.853033657962047,0.862882228378852,1.66174853449961e-12,0,2.04381397042974e-19,3.81461579124214e-21,2.10586867952164e-19,1.13136056365608e-25,6.62264440993585e-20,2.27585751505462e-20,7.54241371811436e-24,1.1329411292073e-17,1.91901112404917e-15,2.12688045961632e-13,2.2690702541715e-07,6.35559506046357e-05,1.62094240244532e-12,2.59842266632499e-14,7.92436069876919e-15,0.744158223563489,0.201225885598474,0.108664829388848,0.185077278784247,0.0726929933141549
"Safeness_3",0.64433271824901,0.725244012889665,0.780771490342577,3.24952337101443e-12,2.04381397042974e-19,0,2.16432455419626e-24,4.61301002873521e-14,3.73636742876968e-18,1.16559474199422e-23,1.52134502441405e-25,3.23586108757627e-33,8.16784448150598e-16,1.44086810243719e-13,3.6020592931931e-14,2.55475973477696e-10,3.27185963361106e-07,4.54727601550304e-10,2.62555324110395e-14,3.57476890219896e-16,0.361788844217313,0.0972325841694586,0.56311558077227,0.294801804719254,0.0475322387160099
"Safeness_4",0.186031335947688,0.380021658077181,0.90666357295544,5.71234505482775e-15,3.81461579124214e-21,2.16432455419626e-24,0,8.97185876745124e-18,6.41425133883731e-20,4.23317534574419e-23,1.74249031911271e-27,6.81883159669058e-28,3.73932045628872e-25,1.41999275572521e-19,7.60592973160801e-34,1.81330669163451e-12,9.30242954539158e-07,9.94971605972751e-17,1.93334286663536e-21,8.94100921436855e-23,0.669243987429566,0.00136273595887362,0.250449916484359,0.084912750774639,0.0440574416212755
"Effectiveness_1",0.0562534218636469,0.377239341188149,0.660678233809229,2.3083552852087e-18,2.10586867952164e-19,4.61301002873521e-14,8.97185876745124e-18,0,4.77805422105496e-25,1.02954130525232e-28,5.70937678671268e-30,1.85229760546489e-25,1.28686036754539e-27,1.15771702708095e-17,4.67499181814682e-18,7.85050147412484e-10,2.73698608994338e-05,7.45307976440265e-12,1.8612627661961e-14,3.01555425015881e-15,0.297434049082647,0.151958939527177,0.129222539959398,0.112146999866444,0.061061390448087
"Effectiveness_2",0.126868971676691,0.878190114405571,0.547471937983625,5.57864388192198e-11,1.13136056365608e-25,3.73636742876968e-18,6.41425133883731e-20,4.77805422105496e-25,0,2.33329618143682e-33,1.85094536637143e-37,1.67082236232808e-30,1.23524920754347e-25,6.09168187452812e-16,2.70147274815565e-16,1.61074244205497e-15,2.0415921112472e-07,4.26698572068134e-13,1.00303882381855e-16,1.13392918224181e-17,0.662121911587037,0.170537567865735,0.0542324442923064,0.0817002272387305,4.7829726130251e-05
"Effectiveness_3",0.615461716664898,0.513149748775859,0.49747588126184,1.05877780213421e-10,6.62264440993585e-20,1.16559474199422e-23,4.23317534574419e-23,1.02954130525232e-28,2.33329618143682e-33,0,3.1599375081689e-53,2.43752224748424e-59,7.80847469346375e-34,1.93624489778258e-26,4.98889811150167e-22,1.94223693887284e-21,3.92498139666521e-12,7.7783514210774e-14,1.22371613661346e-19,1.19611214356722e-20,0.729123403988761,0.213244015870372,0.0185280178691066,0.65177091995129,0.00479848039504477
"Effectiveness_4",0.203285837724835,0.648345180174733,0.752307947955854,6.24988084906219e-11,2.27585751505462e-20,1.52134502441405e-25,1.74249031911271e-27,5.70937678671268e-30,1.85094536637143e-37,3.1599375081689e-53,0,1.13169778384902e-45,5.56424900636971e-50,7.77911414070359e-29,3.46988535069716e-28,2.90822451002238e-20,9.60829932588067e-13,1.03042224995658e-17,3.71967061229115e-23,1.45583971362534e-24,0.118316264451717,0.280440690605177,0.129951714095021,0.265733901398858,0.00289952650104912
"HBM_average_benefit_3",0.181433722828448,0.32049335821895,0.774967950294914,1.99691584088496e-17,7.54241371811436e-24,3.23586108757627e-33,6.81883159669058e-28,1.85229760546489e-25,1.67082236232808e-30,2.43752224748424e-59,1.13169778384902e-45,0,6.72156289462677e-37,3.43196433219467e-29,4.02191855286119e-25,1.01300054282606e-19,7.73581665683646e-12,4.08117106033765e-18,5.14123705753504e-23,1.39620821389938e-25,0.505109050999791,0.209021672033001,0.0888879802544848,0.054623749428696,0.00821430340578744
"HBM_average_benefit_4",0.107940671856726,0.466535454559028,0.748803603939878,2.04388522299012e-12,1.1329411292073e-17,8.16784448150598e-16,3.73932045628872e-25,1.28686036754539e-27,1.23524920754347e-25,7.80847469346375e-34,5.56424900636971e-50,6.72156289462677e-37,0,1.87895293048832e-26,1.49967421421248e-28,4.68390970681369e-16,1.01151074990786e-09,2.30521167841383e-15,1.84710267486939e-17,6.33348521874631e-20,0.592854009508686,0.0511171150394293,0.0616604518615582,0.434073454175881,0.000443048005267485
"HBM_average_risk_3",0.294484914113769,0.0160623964548008,0.75196263010392,5.34594770761848e-12,1.91901112404917e-15,1.44086810243719e-13,1.41999275572521e-19,1.15771702708095e-17,6.09168187452812e-16,1.93624489778258e-26,7.77911414070359e-29,3.43196433219467e-29,1.87895293048832e-26,0,7.77787281125663e-41,2.10814220857461e-17,2.5134675334201e-08,3.26132427453432e-12,2.56452696420109e-15,6.41154488171305e-15,0.0401230159054774,0.0647123410280075,0.0694547706369961,0.41230237567802,0.276154276829271
"HBM_average_risk_4",0.0587760847558467,0.00639358118084175,0.909721736099353,3.03774280574958e-13,2.12688045961632e-13,3.6020592931931e-14,7.60592973160801e-34,4.67499181814682e-18,2.70147274815565e-16,4.98889811150167e-22,3.46988535069716e-28,4.02191855286119e-25,1.49967421421248e-28,7.77787281125663e-41,0,3.95683034737349e-14,1.21319816753092e-09,6.30985184447892e-14,1.11492764134783e-15,3.04176753397092e-17,0.293194332652241,0.000564905798076854,0.135727963330908,0.211704600509186,0.0769977813305163
"HBM_average_acceptance_3",0.333517713413609,0.850994619984607,0.228073939023618,2.95711897864348e-07,2.2690702541715e-07,2.55475973477696e-10,1.81330669163451e-12,7.85050147412484e-10,1.61074244205497e-15,1.94223693887284e-21,2.90822451002238e-20,1.01300054282606e-19,4.68390970681369e-16,2.10814220857461e-17,3.95683034737349e-14,0,7.397614741965e-25,1.06286506556618e-09,2.36158961805836e-14,1.07946334958193e-15,0.494791562872647,0.131738155702158,0.525008145438445,0.68163438197271,0.0317202794222767
"HBM_average_acceptance_4",0.0364736158979958,0.0466757706830794,0.918342683082772,0.00375790369097945,6.35559506046357e-05,3.27185963361106e-07,9.30242954539158e-07,2.73698608994338e-05,2.0415921112472e-07,3.92498139666521e-12,9.60829932588067e-13,7.73581665683646e-12,1.01151074990786e-09,2.5134675334201e-08,1.21319816753092e-09,7.397614741965e-25,0,1.79267161110961e-10,1.52784597239728e-12,1.91634103407996e-14,0.959425933653087,0.430122595864076,0.481987212105635,0.550092898644425,0.0101027209586122
"num_vaccination_2",0.010562579410103,0.371842204599456,0.964062513546388,9.90316309163796e-06,1.62094240244532e-12,4.54727601550304e-10,9.94971605972751e-17,7.45307976440265e-12,4.26698572068134e-13,7.7783514210774e-14,1.03042224995658e-17,4.08117106033765e-18,2.30521167841383e-15,3.26132427453432e-12,6.30985184447892e-14,1.06286506556618e-09,1.79267161110961e-10,0,3.41796529813965e-81,1.1973879324603e-71,0.115681235680923,0.0643956972051201,0.733184687929838,0.0903163355457825,0.344292993689345
"num_vaccination_3",0.0858846453687079,0.54990276025418,0.912822827226931,3.09570488343057e-06,2.59842266632499e-14,2.62555324110395e-14,1.93334286663536e-21,1.8612627661961e-14,1.00303882381855e-16,1.22371613661346e-19,3.71967061229115e-23,5.14123705753504e-23,1.84710267486939e-17,2.56452696420109e-15,1.11492764134783e-15,2.36158961805836e-14,1.52784597239728e-12,3.41796529813965e-81,0,7.13191731104896e-127,0.322454049624306,0.0727775552155823,0.991077395448804,0.219723772657485,0.123557063294938
"num_vaccination_4",0.0815470327431686,0.600980273108772,0.918561007748629,4.75039671601446e-07,7.92436069876919e-15,3.57476890219896e-16,8.94100921436855e-23,3.01555425015881e-15,1.13392918224181e-17,1.19611214356722e-20,1.45583971362534e-24,1.39620821389938e-25,6.33348521874631e-20,6.41154488171305e-15,3.04176753397092e-17,1.07946334958193e-15,1.91634103407996e-14,1.1973879324603e-71,7.13191731104896e-127,0,0.451114584252308,0.0417309368618457,0.769618668697792,0.268580287674593,0.0523373332262815
"CT",0.549663481709778,0.642958916445343,0.00821904561440288,0.540388682258608,0.744158223563489,0.361788844217313,0.669243987429566,0.297434049082647,0.662121911587037,0.729123403988761,0.118316264451717,0.505109050999791,0.592854009508686,0.0401230159054774,0.293194332652241,0.494791562872647,0.959425933653087,0.115681235680923,0.322454049624306,0.451114584252308,0,0.273251231102851,4.330205373149e-08,0.918984738435947,2.14836006817428e-08
"berlin_correct_count",0.161653646905478,0.00622276522676318,0.00192440845334056,0.21172135363803,0.201225885598474,0.0972325841694586,0.00136273595887362,0.151958939527177,0.170537567865735,0.213244015870372,0.280440690605177,0.209021672033001,0.0511171150394293,0.0647123410280075,0.000564905798076854,0.131738155702158,0.430122595864076,0.0643956972051201,0.0727775552155823,0.0417309368618457,0.273251231102851,0,0.000631611139537015,0.00165939235837191,6.65634283678662e-07
"mean_subjective_numeracy",0.230023954171216,0.87574846711924,0.806135810963264,0.397580960662484,0.108664829388848,0.56311558077227,0.250449916484359,0.129222539959398,0.0542324442923064,0.0185280178691066,0.129951714095021,0.0888879802544848,0.0616604518615582,0.0694547706369961,0.135727963330908,0.525008145438445,0.481987212105635,0.733184687929838,0.991077395448804,0.769618668697792,4.330205373149e-08,0.000631611139537015,0,0.0687104380615634,2.93300223392383e-06
"health_correct_count",0.837442141794784,0.299102014322337,0.0245701787842557,0.0535785623653582,0.185077278784247,0.294801804719254,0.084912750774639,0.112146999866444,0.0817002272387305,0.65177091995129,0.265733901398858,0.054623749428696,0.434073454175881,0.41230237567802,0.211704600509186,0.68163438197271,0.550092898644425,0.0903163355457825,0.219723772657485,0.268580287674593,0.918984738435947,0.00165939235837191,0.0687104380615634,0,0.18216265015934
"numAttitude_average",0.140919401904799,0.307371642874811,0.0422447977698964,0.966637676875638,0.0726929933141549,0.0475322387160099,0.0440574416212755,0.061061390448087,4.7829726130251e-05,0.00479848039504477,0.00289952650104912,0.00821430340578744,0.000443048005267485,0.276154276829271,0.0769977813305163,0.0317202794222767,0.0101027209586122,0.344292993689345,0.123557063294938,0.0523373332262815,2.14836006817428e-08,6.65634283678662e-07,2.93300223392383e-06,0.18216265015934,0
