model_id,dependent,independent,group_var,fit_chisq,fit_df,fit_p,fit_cfi,fit_tli,fit_rmsea,fit_srmr,r2_averageNumerical,r2_averageNonNumerical,r2_HBM_risk,r2_HBM_benefit,r2_dep,path,chisq_diff,df_diff,p_value,note
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,averageNumerical       ~ mean_subjective_numeracy,0.022,1,0.8819,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,averageNonNumerical    ~ mean_subjective_numeracy,1.121,1,0.2897,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_acceptance_4               ~ HBM_average_benefit_3,0.238,1,0.6254,
7,HBM_average_acceptance_4,mean_subjective_numeracy,berlin_oneItem,14.908,10,0.1355,0.988,0.964,0.059,0.037,0.036,0.011,0.211,0.21,0.244,HBM_average_acceptance_4               ~ HBM_average_risk_3,0.016,1,0.8994,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,averageNumerical       ~ numAttitude_average,2.106,1,0.1467,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,averageNonNumerical    ~ numAttitude_average,0.972,1,0.3243,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,HBM_average_acceptance_4               ~ HBM_average_benefit_3,0.238,1,0.6254,
11,HBM_average_acceptance_4,numAttitude_average,berlin_oneItem,15.281,10,0.1222,0.988,0.964,0.061,0.033,0.159,0.006,0.211,0.21,0.244,HBM_average_acceptance_4               ~ HBM_average_risk_3,0.016,1,0.8994,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,averageNumerical       ~ mean_subjective_numeracy,0.022,1,0.8819,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,averageNonNumerical    ~ mean_subjective_numeracy,1.121,1,0.2897,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,num_vaccination_3               ~ HBM_average_benefit_3,0.706,1,0.4007,
13,num_vaccination_3,mean_subjective_numeracy,berlin_oneItem,10.07,10,0.4344,1,1,0.007,0.03,0.036,0.011,0.211,0.21,0.38,num_vaccination_3               ~ HBM_average_risk_3,0.593,1,0.4412,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,averageNumerical       ~ mean_subjective_numeracy,1.099,1,0.2946,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,averageNonNumerical    ~ mean_subjective_numeracy,2.816,1,0.0934,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,HBM_average_risk_3     ~ averageNumerical,2.944,1,0.0862,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,HBM_average_risk_3     ~ averageNonNumerical,1.8,1,0.1797,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,HBM_average_benefit_3  ~ averageNumerical,1.603,1,0.2054,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,HBM_average_benefit_3  ~ averageNonNumerical,1.268,1,0.2601,
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,num_vaccination_3               ~ HBM_average_benefit_3,4.317,1,0.0377,*
14,num_vaccination_3,mean_subjective_numeracy,berlin_group,12.136,10,0.2761,0.996,0.987,0.039,0.03,0.038,0.006,0.223,0.286,0.291,num_vaccination_3               ~ HBM_average_risk_3,1.057,1,0.3039,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,averageNumerical       ~ numAttitude_average,0.361,1,0.5478,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,averageNonNumerical    ~ numAttitude_average,0.326,1,0.5678,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,HBM_average_risk_3     ~ averageNumerical,0.475,1,0.4909,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,HBM_average_risk_3     ~ averageNonNumerical,0.279,1,0.5972,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,HBM_average_benefit_3  ~ averageNumerical,0.589,1,0.4428,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,HBM_average_benefit_3  ~ averageNonNumerical,1.109,1,0.2923,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,num_vaccination_3               ~ HBM_average_benefit_3,0.001,1,0.9806,
16,num_vaccination_3,numAttitude_average,subjectiveNumeracy_group,13.524,10,0.1958,0.993,0.978,0.05,0.037,0.048,0,0.162,0.344,0.332,num_vaccination_3               ~ HBM_average_risk_3,0.161,1,0.6879,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,averageNumerical       ~ numAttitude_average,2.106,1,0.1467,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,averageNonNumerical    ~ numAttitude_average,0.972,1,0.3243,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,num_vaccination_3               ~ HBM_average_benefit_3,0.706,1,0.4007,
17,num_vaccination_3,numAttitude_average,berlin_oneItem,13.359,10,0.2043,0.993,0.98,0.049,0.031,0.159,0.006,0.211,0.21,0.38,num_vaccination_3               ~ HBM_average_risk_3,0.593,1,0.4412,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,averageNumerical       ~ numAttitude_average,0.079,1,0.7783,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,averageNonNumerical    ~ numAttitude_average,0.584,1,0.4446,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,HBM_average_risk_3     ~ averageNumerical,2.944,1,0.0862,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,HBM_average_risk_3     ~ averageNonNumerical,1.8,1,0.1797,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,HBM_average_benefit_3  ~ averageNumerical,1.603,1,0.2054,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,HBM_average_benefit_3  ~ averageNonNumerical,1.268,1,0.2601,
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,num_vaccination_3               ~ HBM_average_benefit_3,4.317,1,0.0377,*
18,num_vaccination_3,numAttitude_average,berlin_group,13.902,10,0.1775,0.992,0.976,0.053,0.03,0.063,0.002,0.223,0.286,0.291,num_vaccination_3               ~ HBM_average_risk_3,1.057,1,0.3039,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,averageNumerical       ~ mean_subjective_numeracy,0.022,1,0.8819,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,averageNonNumerical    ~ mean_subjective_numeracy,1.121,1,0.2897,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,num_vaccination_4               ~ HBM_average_benefit_3,1.512,1,0.2189,
19,num_vaccination_4,mean_subjective_numeracy,berlin_oneItem,9.207,10,0.5125,1,1.005,0,0.028,0.036,0.011,0.211,0.21,0.384,num_vaccination_4               ~ HBM_average_risk_3,1.105,1,0.2932,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,averageNumerical       ~ mean_subjective_numeracy,1.099,1,0.2946,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,averageNonNumerical    ~ mean_subjective_numeracy,2.816,1,0.0934,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,HBM_average_risk_3     ~ averageNumerical,2.944,1,0.0862,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,HBM_average_risk_3     ~ averageNonNumerical,1.8,1,0.1797,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,HBM_average_benefit_3  ~ averageNumerical,1.603,1,0.2054,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,HBM_average_benefit_3  ~ averageNonNumerical,1.268,1,0.2601,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,num_vaccination_4               ~ HBM_average_benefit_3,3.437,1,0.0638,
20,num_vaccination_4,mean_subjective_numeracy,berlin_group,10.843,10,0.3699,0.998,0.995,0.024,0.027,0.038,0.006,0.223,0.286,0.314,num_vaccination_4               ~ HBM_average_risk_3,1.491,1,0.2221,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,averageNumerical       ~ mean_subjective_numeracy,6.884,1,0.0087,**
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,averageNonNumerical    ~ mean_subjective_numeracy,0.091,1,0.763,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,HBM_average_risk_3     ~ averageNumerical,1.149,1,0.2839,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,HBM_average_risk_3     ~ averageNonNumerical,2.983,1,0.0841,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,HBM_average_benefit_3  ~ averageNumerical,1.911,1,0.1668,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,HBM_average_benefit_3  ~ averageNonNumerical,0.224,1,0.6358,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,num_vaccination_4               ~ HBM_average_benefit_3,0.383,1,0.5358,
21,num_vaccination_4,mean_subjective_numeracy,numAttitude_group,17.303,10,0.0679,0.985,0.954,0.072,0.039,0,0.004,0.236,0.331,0.409,num_vaccination_4               ~ HBM_average_risk_3,0.244,1,0.6211,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,averageNumerical       ~ numAttitude_average,0.361,1,0.5478,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,averageNonNumerical    ~ numAttitude_average,0.326,1,0.5678,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,HBM_average_risk_3     ~ averageNumerical,0.475,1,0.4909,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,HBM_average_risk_3     ~ averageNonNumerical,0.279,1,0.5972,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,HBM_average_benefit_3  ~ averageNumerical,0.589,1,0.4428,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,HBM_average_benefit_3  ~ averageNonNumerical,1.109,1,0.2923,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,num_vaccination_4               ~ HBM_average_benefit_3,0.05,1,0.8236,
22,num_vaccination_4,numAttitude_average,subjectiveNumeracy_group,15.143,10,0.1269,0.99,0.969,0.06,0.038,0.048,0,0.162,0.344,0.35,num_vaccination_4               ~ HBM_average_risk_3,0.04,1,0.8413,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,averageNumerical       ~ numAttitude_average,2.106,1,0.1467,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,averageNonNumerical    ~ numAttitude_average,0.972,1,0.3243,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,HBM_average_risk_3     ~ averageNumerical,0.348,1,0.555,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,HBM_average_risk_3     ~ averageNonNumerical,0.604,1,0.4371,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,HBM_average_benefit_3  ~ averageNumerical,1.267,1,0.2603,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,HBM_average_benefit_3  ~ averageNonNumerical,2.453,1,0.1173,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,num_vaccination_4               ~ HBM_average_benefit_3,1.512,1,0.2189,
23,num_vaccination_4,numAttitude_average,berlin_oneItem,12.105,10,0.2781,0.996,0.988,0.039,0.028,0.159,0.006,0.211,0.21,0.384,num_vaccination_4               ~ HBM_average_risk_3,1.105,1,0.2932,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,averageNumerical       ~ numAttitude_average,0.079,1,0.7783,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,averageNonNumerical    ~ numAttitude_average,0.584,1,0.4446,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,HBM_average_risk_3     ~ averageNumerical,2.944,1,0.0862,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,HBM_average_risk_3     ~ averageNonNumerical,1.8,1,0.1797,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,HBM_average_benefit_3  ~ averageNumerical,1.603,1,0.2054,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,HBM_average_benefit_3  ~ averageNonNumerical,1.268,1,0.2601,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,num_vaccination_4               ~ HBM_average_benefit_3,3.437,1,0.0638,
24,num_vaccination_4,numAttitude_average,berlin_group,13.87,10,0.179,0.992,0.977,0.052,0.031,0.063,0.002,0.223,0.286,0.314,num_vaccination_4               ~ HBM_average_risk_3,1.491,1,0.2221,
